Able
Absent-minded
Active
Adventurous
Affable
Affected
Affectionate
Afraid
Aggressive
Alert
Ambitious
Amiable
Angry
Animated
Annoyed
Anxious
apologetic
Appreciative
Argumentative
Arrogant
Attentive
Austere
Average
Awkward
Babyish
Bad
Bashful
Bewildered
Blasé
Blowhard
Boastful
Bold
Boorish
Bored
Bossy
Brainy
Brave
Bright
Brilliant
Brutish
Busy
Calm
Candid
Capable
Carefree
Careful
Careless
caring
Caustic
Cautious
Changeable
Charismatic
Charming
Cheerful
Civilized
Clever
Clumsy
Coarse
Cold-hearted
Commitment-phobe
Committed
Communicative
compassionate
Competent
Complacent
Conceited
Concerned
Confident
Confused
Conscientious
Considerate
Consistent
Contented
Cooperative
Courageous
Cowardly
Crafty
Creative
Critical
Cross
Cruel
Cultured
Curious
Dainty
Dangerous
Daring
Daring
Dark
Dauntless
Decisive
Deferential
Demanding
Demanding
Dependable
Depressed
Desiccated
Despondent
Determined
Devoted
Diligent
Disaffected
Disagreeable
Discerning
discontented
Discouraged
Discreet
Dishonest
Disillusioned
Disloyal
Dismayed
Disorganized
Disparaging
Disrespectful
Dissatisfied
Distressed
Domineering
Doubtful
Dreamer
Dreamy
Dull
Dutiful
Eager
Easygoing
Effervescent
Efficient
Eloquent
Embarrassed
Encouraging
Energetic
Enthusiastic
Equable
Ethical
Evil
Exacting
Excessive
Excitable
Excited
Expert
Exuberant
Facetious
Fair
Faithful
Faithless
Fanciful
Fearful
Fearless
Feisty
ferocious
Fidgety
Fierce
Fighter
Finicky
Flexible
Foolish
Forgetful
Forgiving
Formal
Fortunate
Foul
Frank
fresh
friendly
Frightened
Frustrated
Fun loving
Funny
Furious
Fussy
Garrulous
Generous
Gentle
Giddy
Gives up easily
Giving
Glamorous
Gloomy
Glum
Good
graceful
Greedy
Gregarious
Grouchy
Grumpy
Guilty
Gullible
Handsome
Happy
Hard-working
Hardy
Harried
Harsh
Hateful
Haughty
Healthy
Helpful
Hesitant
Honest
Hopeful
Hopeless
Hospitable
Hot-tempered
Humble
Humorous
Ignorant
Ill-bred
Imaginative
Immaculate
Immature
immobile
Impartial
Impatient
impolite
Impudent
Impulsive
Inactive
Inconsiderate
Inconsistent
Indecisive
independent
Indiscriminate
Indolent
Industrious
Inefficient
Inimitable
Innocent
Insecure
Insincere
Insipid
Insistent
Insolent
Intelligent
Intolerant
Intrepid
Inventive
Jealous
Jolly
Jovial
Joyful
Keen
Kind
Kindly
Lackadaisical
Languid
Lazy
Leader
Lean
Left-brain
Liar
licentious
Light
Light-hearted
Limited
Lively
Logical
Lonely
Loquacious
Loud
Lovable
Loves challenge
Loving
Loyal
Lucky
Malicious
Mannerly
Mature
Mean
Meek
Merciful
Messy
Meticulous
Mischievous
Miserable
Moody
Mysterious
Nagging
Naïve
Naughty
Neat
Negligent
Nervous
Nice
No purpose
Noisy
Not trustworthy
Obedient
Obese
Obliging
Observant
Open
Optimistic
Organized
Outspoken
Overweight
Patient
Patriotic
Peaceful
Perserverant
Persistent
Persuasive
Perverse
Pessimistic
Picky
Pitiful
Plain
Playful
pleasant
Pleasing
Polite
Poor
Popular
Positive
Precise
Pretty
Prim
primitive
Proper
Proud
Prudent
Punctual
Purposeful
Quarrelsome
Quick
Quick-tempered
Quiet
Rational
Rawboned
Reasonable
Reckless
Relaxed
Reliable
Religious
Repugnant
Repulsive
Reserved
Resourceful
Respectful
Responsible
Restless
Rich
Rigid
Risk-taking
Rough
rowdy
Rude
Ruthless
Sad
Safe
Satisfied
Scared
Scatty
Scheming
Scrawny
Scruffy
Secretive
Secure
Self-centered
Self-confident
Self-controlling
Selfish
Sensitive
Sentimental
Serious
Sharp
Sharp-witted
Shiftless
Short
Shrewd
Shy
Silly
Simple
simple-minded
Sincere
skillful
Sly
Smart
Sneaky
Soft-hearted
Solitary
Sorry
Spendthrift
Spoiled
Sterile
Stern
Stingy
Strange
Strict
Strong
Stubborn
Studious
Submissive
Successful
Superstitious
Supportive
Suspicious
Sweet
Tactful
Tactless
Talented
Talkative
Tall
Tardy
Temperate
Thankful
Thorough
Thoughtful
Thoughtless
Thrifty
Thrilled
Timid
Tired
Tireless
Tolerant
Touchy
Tough
Trusting
Trustworthy
Truthful
Ugly
Unconcerned
Uncoordinated
Undependable
Understanding
Unforgiving
Unfriendly
Ungrateful
Unhappy
Unkind
Unmerciful
Unselfish
Unsuitable
Upset
useful
vacant
Violent
Virtuous
Warm
Weak
Wicked
Wild
Wise
Wishy-washy
Withdrawn
Witty
Worried
Wrong
Young
Zany
